model,cv_rmse,cv_rmse_std,train_rmse,train_r2,test_rmse,test_mae,test_r2
Ridge,18.431209828528335,1.8007768873264127,18.065237490165888,0.7107783301303968,17.932054447878112,12.112378935616581,0.7061499271749409
RandomForest,16.79449347404199,1.9378844182840143,9.978261030627122,0.911762498879563,17.14915363873804,10.82855611573803,0.7312483821385956
GradientBoosting,16.752895153092357,1.630727442322561,12.784027350146802,0.8551632200544916,16.174983345591265,10.477596670703328,0.760914416664733
HistGradientBoosting,16.832293830523053,1.8300757277956128,14.055538065149133,0.8249192372484726,17.177011676104836,11.058609250113502,0.7303745228412042
